,club,player,nation,position,age,mp,starts,minutes,full-90,goals,assists,goals-pks,pks-made,pk-att,yellows,reds,p90-goals,p90-assists,p90-goals-assists,p90-goals-pks,p90-goals-assists-pks,xG,non-pk-xG,xAG,npxG+xAG,p90-xG,p90-xAG,p90-xG+xAG,p90-npxG,p90-npxG+xAG
0,LFC,Alisson,br BRA,GK,25.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LFC,Virgil van Dijk,nl NED,DF,27.0,38,38,3384.0,37.6,4.0,2.0,4.0,0.0,0.0,1.0,0.0,0.11,0.05,0.16,0.11,0.16,3.1,3.1,1.4,4.6,0.08,0.04,0.12,0.08,0.12
2,LFC,Mohamed Salah,eg EGY,FW,26.0,38,37,3250.0,36.1,22.0,8.0,19.0,3.0,3.0,1.0,0.0,0.61,0.22,0.83,0.53,0.75,20.2,17.9,9.4,27.2,0.56,0.26,0.82,0.49,0.75
3,LFC,Andrew Robertson,sct SCO,DF,24.0,36,36,3216.0,35.7,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.31,0.31,0.0,0.31,0.7,0.7,7.2,7.9,0.02,0.2,0.22,0.02,0.22
4,LFC,Sadio Mané,sn SEN,FW,26.0,36,35,3077.0,34.2,22.0,1.0,22.0,0.0,0.0,2.0,0.0,0.64,0.03,0.67,0.64,0.67,15.1,15.1,4.5,19.7,0.44,0.13,0.58,0.44,0.58
5,LFC,Georginio Wijnaldum,nl NED,MF,27.0,35,32,2725.0,30.3,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.1,0.0,0.1,0.1,0.1,3.0,3.0,1.8,4.8,0.1,0.06,0.16,0.1,0.16
6,LFC,Roberto Firmino,br BRA,FWMF,26.0,34,31,2607.0,29.0,12.0,6.0,11.0,1.0,1.0,0.0,0.0,0.41,0.21,0.62,0.38,0.59,13.6,12.8,5.5,18.3,0.47,0.19,0.66,0.44,0.63
7,LFC,Trent Alexander-Arnold,eng ENG,DF,19.0,29,27,2462.0,27.4,1.0,12.0,1.0,0.0,0.0,3.0,0.0,0.04,0.44,0.48,0.04,0.48,1.6,1.6,6.3,7.9,0.06,0.23,0.29,0.06,0.29
8,LFC,Fabinho,br BRA,MF,24.0,28,21,2017.0,22.4,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.04,0.09,0.13,0.04,0.13,1.0,1.0,1.8,2.8,0.05,0.08,0.12,0.05,0.12
9,LFC,Jordan Henderson,eng ENG,MF,28.0,32,21,1987.0,22.1,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.05,0.14,0.18,0.05,0.18,1.5,1.5,1.8,3.2,0.07,0.08,0.15,0.07,0.15
10,LFC,James Milner,eng ENG,MFDF,32.0,31,19,1789.0,19.9,5.0,4.0,2.0,3.0,3.0,6.0,1.0,0.25,0.2,0.45,0.1,0.3,3.4,1.1,5.3,6.4,0.17,0.27,0.44,0.05,0.32
11,LFC,Joël Matip,cm CMR,DF,26.0,22,17,1537.0,17.1,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,0.7,0.7,0.2,0.9,0.04,0.01,0.05,0.04,0.05
12,LFC,Naby Keïta,gn GUI,MFFW,23.0,25,16,1390.0,15.4,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.13,0.06,0.19,0.13,0.19,2.0,2.0,1.0,3.0,0.13,0.06,0.19,0.13,0.19
13,LFC,Joe Gomez,eng ENG,DF,21.0,16,12,1063.0,11.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,0.03,0.03,0.06,0.03,0.06
14,LFC,Xherdan Shaqiri,ch SUI,FWMF,26.0,24,11,1064.0,11.8,6.0,3.0,6.0,0.0,0.0,2.0,0.0,0.51,0.25,0.76,0.51,0.76,3.9,3.9,1.6,5.5,0.33,0.14,0.46,0.33,0.46
