player,nation,position,age,mp,starts,minutes,full-90,goals,assists,goals-pks,pks-made,pk-att,yellows,reds,p90-goals,p90-assists,p90-goals-assists,p90-goals-pks,p90-goals-assists-pks,xG,non-pk-xG,xAG,npxG+xAG,p90-xG,p90-xAG,p90-xG+xAG,p90-npxG,p90-npxG+xAG
Ederson,br BRA,GK,24,38,38,3420,38,0,1,0,0,0,2,0,0,0.03,0.03,0,0.03,0,0,0.1,0.1,0,0,0,0,0
Aymeric Laporte,es ESP,DF,24,35,34,3057,34,3,3,3,0,0,3,0,0.09,0.09,0.18,0.09,0.18,3,3,0.8,3.8,0.09,0.02,0.11,0.09,0.11
Bernardo Silva,pt POR,MFFW,23,36,31,2854,31.7,7,7,7,0,0,3,0,0.22,0.22,0.44,0.22,0.44,7.4,7.4,7.8,15.2,0.23,0.25,0.48,0.23,0.48
Raheem Sterling,eng ENG,FW,23,34,31,2771,30.8,17,9,17,0,0,3,0,0.55,0.29,0.84,0.55,0.84,13.7,13.7,9.6,23.3,0.44,0.31,0.76,0.44,0.76
Sergio Agüero,ar ARG,FW,30,33,31,2459,27.3,21,8,19,2,2,4,0,0.77,0.29,1.06,0.7,0.99,18.1,16.5,5,21.5,0.66,0.18,0.85,0.6,0.79
Kyle Walker,eng ENG,DF,28,33,30,2779,30.9,1,1,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,0.8,0.8,1.9,2.7,0.03,0.06,0.09,0.03,0.09
David Silva,es ESP,MF,32,33,28,2401,26.7,6,8,6,0,0,2,0,0.22,0.3,0.52,0.22,0.52,7.8,7.8,8.5,16.3,0.29,0.32,0.61,0.29,0.61
Fernandinho,br BRA,MF,33,29,27,2377,26.4,1,3,1,0,0,5,0,0.04,0.11,0.15,0.04,0.15,1.6,1.6,3,4.5,0.06,0.11,0.17,0.06,0.17
İlkay Gündoğan,de GER,MF,27,31,23,2137,23.7,6,3,6,0,0,3,0,0.25,0.13,0.38,0.25,0.38,4.1,4.1,4.3,8.4,0.17,0.18,0.35,0.17,0.35
Leroy Sané,de GER,FW,22,31,21,1867,20.7,10,10,10,0,0,1,0,0.48,0.48,0.96,0.48,0.96,6.7,6.7,7.4,14.1,0.32,0.36,0.68,0.32,0.68
John Stones,eng ENG,DF,24,24,20,1764,19.6,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.2,0.6,0.02,0.01,0.03,0.02,0.03
Riyad Mahrez,dz ALG,FWMF,27,27,14,1343,14.9,7,4,7,0,1,0,0,0.47,0.27,0.74,0.47,0.74,5.5,4.7,4.6,9.3,0.37,0.31,0.68,0.32,0.62
Nicolás Otamendi,ar ARG,DF,30,18,14,1236,13.7,0,0,0,0,0,1,0,0,0,0,0,0,1.3,1.3,0.2,1.5,0.1,0.01,0.11,0.1,0.11
Oleksandr Zinchenko,ua UKR,DF,21,14,14,1151,12.8,0,3,0,0,0,1,0,0,0.23,0.23,0,0.23,0.2,0.2,1.5,1.7,0.01,0.12,0.13,0.01,0.13
Vincent Kompany,be BEL,DF,32,17,13,1224,13.6,1,0,1,0,0,6,0,0.07,0,0.07,0.07,0.07,0.3,0.3,0,0.3,0.02,0,0.02,0.02,0.02
Kevin De Bruyne,be BEL,MF,27,19,11,975,10.8,2,2,2,0,0,2,0,0.18,0.18,0.37,0.18,0.37,1.4,1.4,5.7,7,0.13,0.52,0.65,0.13,0.65
Benjamin Mendy,fr FRA,DF,24,10,10,900,10,0,5,0,0,0,1,0,0,0.5,0.5,0,0.5,0.2,0.2,1.6,1.8,0.02,0.16,0.18,0.02,0.18
Danilo,br BRA,DF,27,11,9,807,9,1,0,1,0,0,1,0,0.11,0,0.11,0.11,0.11,0.4,0.4,0.2,0.6,0.05,0.02,0.07,0.05,0.07
Gabriel Jesus,br BRA,FW,21,29,8,1036,11.5,7,3,6,1,1,1,0,0.61,0.26,0.87,0.52,0.78,11.2,10.5,2.3,12.7,0.97,0.2,1.17,0.91,1.11
Fabian Delph,eng ENG,DF,28,11,8,725,8.1,0,1,0,0,0,1,1,0,0.12,0.12,0,0.12,0.1,0.1,0.3,0.4,0.01,0.04,0.06,0.01,0.06
Phil Foden,eng ENG,MF,18,13,3,335,3.7,1,0,1,0,0,0,0,0.27,0,0.27,0.27,0.27,2.1,2.1,0.9,3,0.57,0.23,0.8,0.57,0.8
Claudio Bravo,cl CHI,GK,35,0,0,,,,,,,,,,,,,,,,,,,,,,,
Arijanet Muric,xk KVX,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,
Philippe Sandler,nl NED,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,
